CI_ID,Name,OS,IP_Address,Location,Manufacturer,Model,Status,CPU,RAM,Storage,Owner,Support_Group,Patch_Level,IKT_CI,KRITIS_relevant,CIA_Confidentiality,CIA_Integrity,CIA_Availability,Related_CI_ID,Relation_Type
WIN-SRV-1001,WSRV-809,Windows Server 2022,10.10.1.1,Office-Berlin,Dell,PowerEdge R750,Maintenance,8 Core,32GB,1TB,IT-Ops,Win-Support,2024-03,Nein,Ja,3,1,2,,
WIN-SRV-1002,WSRV-478,Windows Server 2022,10.10.1.2,Cloud-Region-EU,Dell,PowerEdge R750,Active,8 Core,32GB,1TB,IT-Ops,Win-Support,2024-03,Nein,Nein,3,3,3,,
WIN-SRV-1003,WSRV-255,Windows Server 2022,10.10.1.3,Cloud-Region-EU,Dell,PowerEdge R750,Active,8 Core,32GB,1TB,IT-Ops,Win-Support,2024-03,Nein,Ja,1,1,1,,
WIN-SRV-1004,WSRV-653,Windows Server 2022,10.10.1.4,Office-Berlin,Dell,PowerEdge R750,Maintenance,8 Core,32GB,1TB,IT-Ops,Win-Support,2024-03,Nein,Nein,3,3,1,,
WIN-SRV-1005,WSRV-482,Windows Server 2022,10.10.1.5,Cloud-Region-EU,Dell,PowerEdge R750,Active,8 Core,32GB,1TB,IT-Ops,Win-Support,2024-03,Ja,Ja,1,1,2,,
WIN-SRV-1006,WSRV-431,Windows Server 2022,10.10.1.6,Hub-Muenchen,Dell,PowerEdge R750,Active,8 Core,32GB,1TB,IT-Ops,Win-Support,2024-03,Ja,Nein,3,3,1,,
WIN-SRV-1007,WSRV-140,Windows Server 2022,10.10.1.7,Logistik-Hamburg,Dell,PowerEdge R750,Active,8 Core,32GB,1TB,IT-Ops,Win-Support,2024-03,Ja,Ja,1,2,3,,
WIN-SRV-1008,WSRV-118,Windows Server 2022,10.10.1.8,Office-Berlin,Dell,PowerEdge R750,Maintenance,8 Core,32GB,1TB,IT-Ops,Win-Support,2024-03,Ja,Ja,3,2,2,,
WIN-SRV-1009,WSRV-810,Windows Server 2022,10.10.1.9,Office-Berlin,Dell,PowerEdge R750,Active,8 Core,32GB,1TB,IT-Ops,Win-Support,2024-03,Ja,Nein,2,2,1,,
WIN-SRV-1010,WSRV-480,Windows Server 2022,10.10.1.10,Rechenzentrum-Frankfurt-1,Dell,PowerEdge R750,Active,8 Core,32GB,1TB,IT-Ops,Win-Support,2024-03,Nein,Nein,2,2,2,,
WIN-SRV-1011,WSRV-438,Windows Server 2022,10.10.1.11,Logistik-Hamburg,Dell,PowerEdge R750,Active,8 Core,32GB,1TB,IT-Ops,Win-Support,2024-03,Ja,Ja,1,2,1,,
WIN-SRV-1012,WSRV-785,Windows Server 2022,,Logistik-Hamburg,Dell,PowerEdge R750,Maintenance,8 Core,32GB,1TB,IT-Ops,Win-Support,2024-03,Nein,Ja,2,2,2,,
WIN-SRV-1013,WSRV-690,Windows Server 2022,10.10.1.13,Rechenzentrum-Frankfurt-1,Dell,PowerEdge R750,Active,8 Core,32GB,1TB,IT-Ops,Win-Support,2024-03,Nein,Ja,1,1,1,,
WIN-SRV-1014,WSRV-480,Windows Server 2022,10.10.1.14,Office-Berlin,Dell,PowerEdge R750,Active,8 Core,32GB,1TB,IT-Ops,Win-Support,2024-03,Ja,Nein,2,3,3,,
WIN-SRV-1015,WSRV-144,Windows Server 2022,10.10.1.15,Rechenzentrum-Frankfurt-1,Dell,PowerEdge R750,Maintenance,8 Core,32GB,1TB,IT-Ops,Win-Support,2024-03,Ja,Nein,1,1,2,,
WIN-SRV-1016,WSRV-466,Windows Server 2022,10.10.1.16,Office-Berlin,Dell,PowerEdge R750,Active,8 Core,32GB,1TB,IT-Ops,Win-Support,2024-03,Ja,Nein,1,1,3,,
WIN-SRV-1017,WSRV-530,Windows Server 2022,10.10.1.17,Hub-Muenchen,Dell,PowerEdge R750,Active,8 Core,32GB,1TB,IT-Ops,Win-Support,2024-03,Nein,Nein,3,1,3,,
WIN-SRV-1018,WSRV-202,Windows Server 2022,10.10.1.18,Cloud-Region-EU,Dell,PowerEdge R750,Active,8 Core,32GB,1TB,IT-Ops,Win-Support,2024-03,Ja,Nein,3,2,3,,
WIN-SRV-1019,WSRV-533,Windows Server 2022,10.10.1.19,Cloud-Region-EU,Dell,PowerEdge R750,Maintenance,8 Core,32GB,1TB,IT-Ops,Win-Support,2024-03,Ja,Nein,3,1,1,,
WIN-SRV-1020,WSRV-168,Windows Server 2022,10.10.1.20,Office-Berlin,Dell,PowerEdge R750,Active,8 Core,32GB,1TB,IT-Ops,Win-Support,2024-03,Ja,Ja,3,3,1,,
WIN-SRV-1021,WSRV-234,Windows Server 2022,10.10.1.21,Office-Berlin,Dell,PowerEdge R750,Active,8 Core,32GB,1TB,IT-Ops,Win-Support,2024-03,Nein,Ja,2,2,2,,
WIN-SRV-1022,WSRV-339,Windows Server 2022,10.10.1.22,Logistik-Hamburg,Dell,PowerEdge R750,Active,8 Core,32GB,1TB,IT-Ops,Win-Support,2024-03,Nein,Ja,2,3,1,,
WIN-SRV-1023,WSRV-425,Windows Server 2022,10.10.1.23,Hub-Muenchen,Dell,PowerEdge R750,Active,8 Core,32GB,1TB,IT-Ops,Win-Support,2024-03,Nein,Nein,3,2,2,,
WIN-SRV-1024,WSRV-934,Windows Server 2022,,Cloud-Region-EU,Dell,PowerEdge R750,Active,8 Core,32GB,1TB,IT-Ops,Win-Support,2024-03,Nein,Ja,2,3,3,,
