CI_ID,Name,OS,IP_Address,Location,Manufacturer,Model,Status,CPU,RAM,Storage,Owner,SLA,Environment,IKT_CI,KRITIS_relevant,CIA_Confidentiality,CIA_Integrity,CIA_Availability,Related_CI_ID,Relation_Type
LIN-SRV-2001,LSRV-840,Ubuntu 22.04,10.20.1.1,Cloud-Region-EU,HP,ProLiant DL380,Active,16 Core,64GB,2TB,Linux-Ops,99.9%,Prod,Nein,Nein,2,3,2,,
LIN-SRV-2002,LSRV-863,Ubuntu 22.04,10.20.1.2,Logistik-Hamburg,HP,ProLiant DL380,Active,16 Core,64GB,2TB,Linux-Ops,99.9%,Prod,Nein,Ja,3,2,1,,
LIN-SRV-2003,LSRV-591,Ubuntu 22.04,10.20.1.3,Hub-Muenchen,HP,ProLiant DL380,Active,16 Core,64GB,2TB,Linux-Ops,99.9%,Prod,Ja,Nein,3,3,2,,
LIN-SRV-2004,LSRV-714,Ubuntu 22.04,10.20.1.4,Rechenzentrum-Frankfurt-1,HP,ProLiant DL380,Active,16 Core,64GB,2TB,Linux-Ops,99.9%,Prod,Nein,Ja,2,2,1,,
LIN-SRV-2005,LSRV-171,Ubuntu 22.04,10.20.1.5,Rechenzentrum-Frankfurt-1,HP,ProLiant DL380,Active,16 Core,64GB,2TB,Linux-Ops,99.9%,Prod,Nein,Nein,2,1,1,,
LIN-SRV-2006,LSRV-144,Ubuntu 22.04,10.20.1.6,Cloud-Region-EU,HP,ProLiant DL380,Active,16 Core,64GB,2TB,Linux-Ops,99.9%,Prod,Nein,Ja,2,3,1,,
LIN-SRV-2007,LSRV-603,Ubuntu 22.04,10.20.1.7,Cloud-Region-EU,HP,ProLiant DL380,Active,16 Core,64GB,2TB,Linux-Ops,99.9%,Prod,Ja,Ja,2,3,2,,
LIN-SRV-2008,LSRV-234,Ubuntu 22.04,10.20.1.8,Office-Berlin,HP,ProLiant DL380,Active,16 Core,64GB,2TB,Linux-Ops,99.9%,Prod,Nein,Nein,2,2,1,,
LIN-SRV-2009,LSRV-786,Ubuntu 22.04,10.20.1.9,Office-Berlin,HP,ProLiant DL380,Active,16 Core,64GB,2TB,Linux-Ops,99.9%,Prod,Ja,Ja,2,3,2,,
LIN-SRV-2010,LSRV-242,Ubuntu 22.04,10.20.1.10,Rechenzentrum-Frankfurt-1,HP,ProLiant DL380,Active,16 Core,64GB,2TB,Linux-Ops,99.9%,Prod,Ja,Nein,1,2,3,,
LIN-SRV-2011,LSRV-347,Ubuntu 22.04,10.20.1.11,Office-Berlin,HP,ProLiant DL380,Active,16 Core,64GB,2TB,Linux-Ops,99.9%,Prod,Ja,Ja,3,3,2,,
LIN-SRV-2012,LSRV-675,Ubuntu 22.04,10.20.1.12,Logistik-Hamburg,HP,ProLiant DL380,Active,16 Core,64GB,2TB,Linux-Ops,99.9%,Prod,Nein,Nein,3,3,1,,
LIN-SRV-2013,LSRV-471,Ubuntu 22.04,10.20.1.13,Office-Berlin,HP,ProLiant DL380,Active,16 Core,64GB,2TB,Linux-Ops,99.9%,Prod,Nein,Nein,3,3,2,,
LIN-SRV-2014,LSRV-177,Ubuntu 22.04,10.20.1.14,Logistik-Hamburg,HP,ProLiant DL380,Active,16 Core,64GB,2TB,Linux-Ops,99.9%,Prod,Nein,Ja,3,1,2,,
LIN-SRV-2015,LSRV-388,Ubuntu 22.04,10.20.1.15,Hub-Muenchen,HP,ProLiant DL380,Active,16 Core,64GB,2TB,Linux-Ops,99.9%,Prod,Ja,Ja,1,1,3,,
LIN-SRV-2016,LSRV-682,Ubuntu 22.04,10.20.1.16,Office-Berlin,HP,ProLiant DL380,Active,16 Core,64GB,2TB,Linux-Ops,99.9%,Prod,Nein,Ja,3,2,3,,
LIN-SRV-2017,LSRV-406,Ubuntu 22.04,10.20.1.17,Logistik-Hamburg,HP,ProLiant DL380,Active,16 Core,64GB,2TB,Linux-Ops,99.9%,Prod,Ja,Ja,1,2,3,,
LIN-SRV-2018,LSRV-655,Ubuntu 22.04,10.20.1.18,Hub-Muenchen,HP,ProLiant DL380,Active,16 Core,64GB,2TB,Linux-Ops,99.9%,Prod,Nein,Ja,3,3,3,,
LIN-SRV-2019,LSRV-417,Ubuntu 22.04,10.20.1.19,Office-Berlin,HP,ProLiant DL380,Active,16 Core,64GB,2TB,Linux-Ops,99.9%,Prod,Nein,Nein,1,1,3,,
LIN-SRV-2020,LSRV-881,Ubuntu 22.04,10.20.1.20,Hub-Muenchen,HP,ProLiant DL380,Active,16 Core,64GB,2TB,Linux-Ops,99.9%,Prod,Ja,Ja,2,3,1,,
LIN-SRV-2021,LSRV-653,Ubuntu 22.04,10.20.1.21,Office-Berlin,HP,ProLiant DL380,Active,16 Core,64GB,2TB,Linux-Ops,99.9%,Prod,Nein,Nein,2,2,2,,
LIN-SRV-2022,LSRV-609,Ubuntu 22.04,10.20.1.22,Hub-Muenchen,HP,ProLiant DL380,Active,16 Core,64GB,2TB,Linux-Ops,99.9%,Prod,Nein,Nein,3,3,2,,
LIN-SRV-2023,LSRV-460,Ubuntu 22.04,10.20.1.23,Cloud-Region-EU,HP,ProLiant DL380,Active,16 Core,64GB,2TB,Linux-Ops,99.9%,Prod,Nein,Ja,1,1,3,,
LIN-SRV-2024,LSRV-744,Ubuntu 22.04,10.20.1.24,Office-Berlin,HP,ProLiant DL380,Active,16 Core,64GB,2TB,Linux-Ops,99.9%,Prod,Ja,Ja,3,1,1,,
LIN-SRV-2025,LSRV-777,Ubuntu 22.04,10.20.1.25,Hub-Muenchen,HP,ProLiant DL380,Active,16 Core,64GB,2TB,Linux-Ops,99.9%,Prod,Ja,Ja,1,2,1,,
LIN-SRV-2026,LSRV-326,Ubuntu 22.04,10.20.1.26,Hub-Muenchen,HP,ProLiant DL380,Active,16 Core,64GB,2TB,Linux-Ops,99.9%,Prod,Ja,Ja,1,3,3,,
LIN-SRV-2027,LSRV-426,Ubuntu 22.04,10.20.1.27,Logistik-Hamburg,HP,ProLiant DL380,Active,16 Core,64GB,2TB,Linux-Ops,99.9%,Prod,Ja,Nein,3,3,1,,
LIN-SRV-2028,LSRV-746,Ubuntu 22.04,10.20.1.28,Logistik-Hamburg,HP,ProLiant DL380,Active,16 Core,64GB,2TB,Linux-Ops,99.9%,Prod,Nein,Ja,3,3,2,,
LIN-SRV-2029,LSRV-145,Ubuntu 22.04,10.20.1.29,Rechenzentrum-Frankfurt-1,HP,ProLiant DL380,Active,16 Core,64GB,2TB,Linux-Ops,99.9%,Prod,Ja,Nein,2,3,2,,
LIN-SRV-2030,LSRV-537,Ubuntu 22.04,10.20.1.30,Cloud-Region-EU,HP,ProLiant DL380,Active,16 Core,64GB,2TB,Linux-Ops,99.9%,Prod,Nein,Nein,2,3,3,,
LIN-SRV-2031,LSRV-754,Ubuntu 22.04,10.20.1.31,Rechenzentrum-Frankfurt-1,HP,ProLiant DL380,Active,16 Core,64GB,2TB,Linux-Ops,99.9%,Prod,Nein,Nein,1,2,2,,
LIN-SRV-2032,LSRV-206,Ubuntu 22.04,10.20.1.32,Hub-Muenchen,HP,ProLiant DL380,Active,16 Core,64GB,2TB,Linux-Ops,99.9%,Prod,Ja,Nein,3,3,1,,
LIN-SRV-2033,LSRV-484,Ubuntu 22.04,10.20.1.33,Office-Berlin,HP,ProLiant DL380,Active,16 Core,64GB,2TB,Linux-Ops,99.9%,Prod,Nein,Nein,1,3,1,,
LIN-SRV-2034,LSRV-522,Ubuntu 22.04,10.20.1.34,Office-Berlin,HP,ProLiant DL380,Active,16 Core,64GB,2TB,Linux-Ops,99.9%,Prod,Ja,Nein,3,2,1,,
LIN-SRV-2035,LSRV-540,Ubuntu 22.04,10.20.1.35,Logistik-Hamburg,HP,ProLiant DL380,Active,16 Core,64GB,2TB,Linux-Ops,99.9%,Prod,Ja,Nein,1,2,3,,
LIN-SRV-2036,LSRV-598,Ubuntu 22.04,10.20.1.36,Cloud-Region-EU,HP,ProLiant DL380,Active,16 Core,64GB,2TB,Linux-Ops,99.9%,Prod,Nein,Nein,1,2,1,,
LIN-SRV-2037,LSRV-209,Ubuntu 22.04,10.20.1.37,Office-Berlin,HP,ProLiant DL380,Active,16 Core,64GB,2TB,Linux-Ops,99.9%,Prod,Ja,Nein,2,1,1,,
LIN-SRV-2038,LSRV-984,Ubuntu 22.04,10.20.1.38,Cloud-Region-EU,HP,ProLiant DL380,Active,16 Core,64GB,2TB,Linux-Ops,99.9%,Prod,Ja,Nein,1,3,1,,
LIN-SRV-2039,LSRV-476,Ubuntu 22.04,10.20.1.39,Office-Berlin,HP,ProLiant DL380,Active,16 Core,64GB,2TB,Linux-Ops,99.9%,Prod,Nein,Ja,3,3,1,,
LIN-SRV-2040,LSRV-682,Ubuntu 22.04,10.20.1.40,Rechenzentrum-Frankfurt-1,HP,ProLiant DL380,Active,16 Core,64GB,2TB,Linux-Ops,99.9%,Prod,Ja,Nein,2,2,2,,
LIN-SRV-2041,LSRV-762,Ubuntu 22.04,10.20.1.41,Cloud-Region-EU,HP,ProLiant DL380,Active,16 Core,64GB,2TB,Linux-Ops,99.9%,Prod,Ja,Nein,1,2,3,,
